epoch,loss,val_loss
0,12.891131401062012,9.831934928894043
1,12.248321533203125,9.317071914672852
2,11.740517616271973,8.037069320678711
3,10.601834297180176,7.006441593170166
4,8.7053861618042,4.758313179016113
5,6.440180778503418,4.066839218139648
6,4.735501289367676,3.701972723007202
7,4.2060747146606445,3.9712283611297607
8,3.9568514823913574,4.000246047973633
9,3.9295361042022705,3.6170806884765625
10,3.9162867069244385,3.3905389308929443
11,3.8680219650268555,3.4010331630706787
12,3.835543632507324,3.3270866870880127
13,3.8449268341064453,3.3098137378692627
14,3.801762104034424,3.3464345932006836
15,3.8470373153686523,3.2580771446228027
16,3.8496460914611816,3.212876796722412
17,3.8198630809783936,3.140693426132202
18,3.7214972972869873,3.175938606262207
19,3.732905864715576,3.154590606689453
20,3.7011923789978027,3.208353281021118
21,3.780146837234497,3.1522412300109863
22,3.7363030910491943,3.1081316471099854
23,3.703554153442383,3.164262056350708
24,3.707165002822876,3.114851951599121
25,3.7146832942962646,3.0755162239074707
26,3.6729397773742676,3.121521234512329
27,3.729259967803955,3.141396999359131
28,3.658174514770508,3.208355665206909
29,3.735400438308716,3.050133466720581
30,3.7253246307373047,3.1465532779693604
31,3.6565604209899902,3.0721096992492676
32,3.6587250232696533,3.0528252124786377
33,3.7334699630737305,3.0788910388946533
34,3.628633737564087,3.0518226623535156
35,3.648245334625244,3.1526496410369873
36,3.650820255279541,3.103748083114624
37,3.684561252593994,3.0806195735931396
38,3.6428613662719727,3.103492259979248
39,3.6558008193969727,3.0330734252929688
40,3.6475768089294434,3.047966718673706
41,3.7101128101348877,3.067318916320801
42,3.6250836849212646,3.1299543380737305
43,3.6574506759643555,3.0384013652801514
44,3.6291069984436035,3.043914794921875
45,3.5907819271087646,3.0333757400512695
