epoch,loss,val_loss
0,12.673501968383789,8.65781021118164
1,11.873549461364746,7.999512672424316
2,10.567387580871582,6.926841735839844
3,8.980151176452637,5.336155891418457
4,6.9774065017700195,4.425400257110596
5,5.3078813552856445,3.7174997329711914
6,4.3355560302734375,3.4833333492279053
7,3.9873647689819336,3.464404582977295
8,3.8257904052734375,3.456996440887451
9,3.8554272651672363,3.5036332607269287
10,3.7723031044006348,3.406806230545044
11,3.875312566757202,3.4266629219055176
12,3.8733043670654297,3.412111520767212
13,3.847210645675659,3.3959429264068604
14,3.8019018173217773,3.392040252685547
15,3.713153600692749,3.431734800338745
16,3.8362319469451904,3.3764657974243164
17,3.797940731048584,3.3467159271240234
18,3.8166425228118896,3.344149589538574
19,3.7871782779693604,3.3359572887420654
20,3.7159557342529297,3.3247814178466797
21,3.708094596862793,3.3105530738830566
22,3.7096762657165527,3.316943407058716
23,3.744281530380249,3.3176212310791016
24,3.734471082687378,3.289722204208374
25,3.7427878379821777,3.2869462966918945
26,3.7513070106506348,3.346341133117676
27,3.715855598449707,3.2808566093444824
28,3.6818835735321045,3.276921510696411
29,3.7155144214630127,3.2771570682525635
30,3.7235913276672363,3.2750539779663086
31,3.7057416439056396,3.265693426132202
32,3.6061296463012695,3.253680944442749
33,3.6532602310180664,3.2757062911987305
34,3.678422212600708,3.2894861698150635
35,3.6930084228515625,3.234999418258667
36,3.670482873916626,3.225163698196411
37,3.635645866394043,3.262108087539673
38,3.6003551483154297,3.239677906036377
39,3.764235496520996,3.2312793731689453
40,3.6491761207580566,3.234649181365967
41,3.653593063354492,3.2251875400543213
42,3.6250901222229004,3.2680327892303467
43,3.6404001712799072,3.294339418411255
44,3.616434335708618,3.2154417037963867
45,3.6605336666107178,3.2127926349639893
